# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
do;xx vs;hv 	多種	c=1 d=1 t=2105
do;xx xm;sq ig;hi 	多線程	c=1 d=1 t=1953
dr;le 	端	c=2 d=1.12873 t=827
dr;le du;gy 	端度	c=1 d=1 t=947
dr;le kb;aa 	端口	c=1 d=1 t=1095
dr;le kb;aa hk;hh 	端口號	c=1 d=1.08311 t=494
dr;le kb;aa hk;hh vj;rv ys;kf 	端口號佔用	c=1 d=1 t=458
dr;ud ui;os jm;mo 	短時間	c=1 d=1 t=2252
ds;ad xi;aa 	東西	c=2 d=1.00038 t=2540
ds;lv tl;xn 	動態	c=3 d=2.68247 t=2285
du;ym bu;ad dk;dv 	讀不到	c=1 d=1 t=611
du;ym qu;ey 	讀取	c=2 d=1.96079 t=441
dv;ct 	對	c=1 d=1 t=2693
dv;ct yy;xv 	對應	c=5 d=1.33622 t=2501
dz;xc 	得	c=1 d=1 t=1908
ee;yk 	額	c=2 d=1.14515 t=1421
ee;yk du;gy 	額度	c=2 d=1.35345 t=2143
ee;yk wl;xb 	額外	c=1 d=1 t=2243
en;ke en;ke 	嗯嗯	c=22 d=1.44269 t=2057
en;xy 	恩	c=3 d=1.05064 t=2407
fa;du 	發	c=3 d=1.02733 t=1840
fa;du bu;rb 	發佈	c=1 d=1 t=1938
fa;du ni;re 	發你	c=1 d=1 t=2055
ff;bd le;aa 	分了	c=0 d=0.1 t=2316
ff;bd le;aa ge;wk lz;yl 	分了各類	c=1 d=1 t=2317
ff;bd lz;yl 	分類	c=3 d=2.80209 t=2309
ff;bd vi;uy 	分支	c=5 d=3.63031 t=1017
ff;bd ye;ab 	分頁	c=2 d=1.65377 t=2154
fg;ji ge;mg 	風格	c=2 d=1.00427 t=2521
fh;ef dk;mc 	防盜	c=2 d=1.97531 t=1465
fh;fw 	放	c=1 d=1 t=2687
fh;hf jm;mo 	房間	c=17 d=5.75006 t=2488
fh;hf jm;mo my;xk 	房間名	c=1 d=1 t=2424
fh;hf jm;mo uu;wl 	房間數	c=1 d=1 t=1499
fh;wd an;ma 	方案	c=1 d=1 t=396
fh;wd fa;dq 	方法	c=7 d=1.18356 t=2442
fh;wd ui;gy 	方式	c=2 d=1.00823 t=2452
fh;wf dk;dv 	放到	c=3 d=1.03627 t=2266
fh;wf zl;ut 	放在	c=1 d=1 t=379
fh;yf wf;mk 	訪問	c=6 d=2.1917 t=2195
fj;ve wf;wi 	範文	c=0 d=0.1 t=2185
fj;ve wf;wi di;ty vi;tv 	範文地址	c=1 d=1 t=2186
fj;yf yi;yx 	翻譯	c=2 d=1.99005 t=1927
fj;zf hv;kk 	返回	c=4 d=1.61165 t=2453
fj;zf le;aa 	返了	c=1 d=1 t=1852
fu;ef jm;rn 	附件	c=2 d=1.29671 t=1828
fu;oy wu;mw 	服務	c=2 d=1.00171 t=1859
fu;oy wu;mw qi;kk 	服務器	c=1 d=1 t=107
fu;uf jm;zy 	福建	c=1 d=1 t=1584
fu;xf gl;ch 	覆蓋	c=1 d=1 t=521
fu;yf vi;yv 	複製	c=1 d=1 t=451
fz;ff qq;hh 	飛秋	c=3 d=1.02725 t=1842
ge;mg ui;gy 	格式	c=4 d=1.13792 t=2369
ge;rg 	個	c=92 d=5.31429 t=2745
ge;wk lz;yl 	各類	c=0 d=0.1 t=2316
gf;mg ju;fj 	根據	c=2 d=1.90032 t=895
gf;zg ni;re uo;yd 	跟你說	c=1 d=1 t=1471
gg;ad da;ad 	更大	c=1 d=1 t=1946
gg;ad do;xx 	更多	c=1 d=1 t=2141
gj;ug wj;by 	幹完	c=1 d=1 t=1065
gj;xx jt;jb 	感覺	c=1 d=1 t=1062
gk;fg ds;xd 	搞懂	c=1 d=1 t=715
gl;mj nm;xj 	概念	c=1 d=1 t=776
gl;wj 	改	c=5 d=1.85307 t=2761
gl;wj ds;lv 	改動	c=1 d=1 t=2539
gl;wj ig;gg 	改成	c=1 d=1 t=1860
gl;wj le;aa 	改了	c=1 d=0.101288 t=1814
gl;wj le;aa xw;ab 	改了下	c=1 d=1 t=1815
gl;wj yi;aa xw;ab 	改一下	c=2 d=1.3624 t=1089
gl;yh 	該	c=2 d=1.67706 t=2710
go;zg 	過	c=3 d=2.40636 t=491
go;zg ll;ad 	過來	c=0 d=0.1 t=2145
go;zg uf;bf 	過審	c=1 d=1 t=454
gr;bg wh;sw 	官網	c=1 d=1 t=1373
gr;ma lm;ea 	關聯	c=3 d=1.99017 t=2134
gr;ma lm;ea gr;ma xi;rx 	關聯關係	c=1 d=1 t=1587
gr;ma xi;rx 	關係	c=2 d=1.00377 t=2109
gr;vg 	管	c=0 d=0.1 t=2580
gr;vg li;wl 	管理	c=2 d=1.24171 t=799
gr;vg li;wl yr;kb 	管理員	c=1 d=1 t=7
gs;aa 	工	c=2 d=1.16365 t=1055
gs;aa ju;ba 	工具	c=5 d=2.79284 t=2145
gs;aa ju;ba lz;yl 	工具類	c=1 d=1 t=1615
gs;aa ui;os 	工時	c=3 d=2.91678 t=1771
gs;aa zi;bc 	工資	c=2 d=1.00034 t=1781
gs;aa zo;rv 	工作	c=3 d=1.18281 t=2551
gs;lg ng;sb 	功能	c=8 d=1.0495 t=2152
gs;sb gs;cb 	公共	c=1 d=1 t=2173
gu;kg dy;bp 	固定	c=2 d=1.03782 t=2350
gv;pd 	鬼	c=1 d=1 t=1871
gz;sh 	給	c=7 d=4.21734 t=2650
gz;sh ni;re 	給你	c=1 d=1 t=2169
gz;sh wo;pd 	給我	c=5 d=1.07899 t=2516
gz;sh wo;pd uo;yd 	給我說	c=1 d=1 t=1019
hb;xw 	後	c=2 d=1.00003 t=2515
hb;xw dr;le 	後端	c=14 d=2.19906 t=2213
hb;xw dr;le pk;zb qi;zj ll;ad 	後端跑起來	c=1 d=1 t=555
hb;xw mm;aa 	後面	c=2 d=1.39063 t=1788
hb;xw qi;oq 	後期	c=1 d=1 t=2240
hb;xw tl;uv 	後臺	c=1 d=1 t=1310
hb;xw vv;su 	後綴	c=1 d=1 t=1080
he;hk 	和	c=17 d=1.95699 t=2333
he;kh qi;zj ll;ad 	喝起來	c=1 d=1 t=1655
he;rk by;rb 	合併	c=1 d=1 t=1102
he;rk dk;dv 	合到	c=1 d=1 t=2401
he;rk qi;zj ll;ad 	合起來	c=1 d=1 t=1656
hf;xg ky;xd 	很快	c=1 d=1 t=2112
hh;xd 	行	c=1 d=1 t=1756
hk;hh 	號	c=1 d=1 t=1769
hk;hh lb;ml 	號樓	c=1 d=1 t=1364
hk;nz 	好	c=31 d=1.01149 t=2756
hk;nz ba;kb 	好吧	c=1 d=1 t=545
hk;nz jq;pd 	好久	c=1 d=1 t=1961
hk;nz xd;rx 	好像	c=3 d=1.33562 t=1099
hk;nz ys;kf 	好用	c=2 d=1.99501 t=1126
hl;dm xn;ry 	海信	c=4 d=1.03169 t=2073
hl;zh 	還	c=4 d=0.140418 t=2521
hl;zh bk;rd lq;td 	還保留	c=1 d=1 t=2522
hl;zh bu;ad ru;nk 	還不如	c=1 d=1 t=398
hl;zh dz;xc 	還得	c=1 d=1 t=1903
hl;zh mz;du 	還沒	c=3 d=1.25061 t=1047
hl;zh mz;du ce;dz ui;yu 	還沒測試	c=1 d=1 t=2373
hl;zh ng;sb 	還能	c=2 d=1.27804 t=2576
hl;zh ui;op 	還是	c=11 d=1.3088 t=1683
hl;zh ui;op mz;du yb;ou 	還是沒有	c=1 d=1 t=1537
hl;zh yb;ou 	還有	c=5 d=1.20197 t=2675
hl;zh yk;xn 	還要	c=5 d=1.84936 t=2329
hl;zh zl;ut 	還在	c=3 d=1.08129 t=1154
ho;gk ve;ol 	或者	c=2 d=1.15032 t=2065
ho;qh qu;ey 	獲取	c=2 d=1.75578 t=1621
hr;wh jy;tj 	環境	c=6 d=0.976444 t=2682
hu;pk 	戶	c=2 d=1.00035 t=2423
hv;kk tv;zg 	回退	c=1 d=1 t=1107
hv;ro 	會	c=3 d=1.00247 t=2139
hv;ro zm 	會怎麼	c=1 d=1 t=808
hw;dh ff;bd 	劃分	c=2 d=1.27665 t=1042
hw;yu 	話	c=5 d=1.11805 t=2715
ia;fi jm;rn 	插件	c=5 d=0.944551 t=2580
ia;fi jm;rn gr;vg li;gp qi;qm 	插件管力氣	c=1 d=1 t=2581
ia;md 	查	c=1 d=1 t=1820
ia;md bu;ad iu;aa ll;ad 	查不出來	c=1 d=1 t=2473
ia;md kj;ou 	查看	c=1 d=1 t=2731
